,Country,Arrivals,Units,2018,2019,2020,2021,2022
0,albania,   ,,,,,,
1,,arrivals   ,,,,,,
2,, total arrivals  ,thousands,5927,6406,2658,5689,7543.8
3,,  overnights visitors (tourists) ,thousands,5340,6128,2604,5515,7104.7
4,,  same-day visitors (excursionists) ,thousands,587,278,54,174,439.1
5,,"   of which, cruise passengers",thousands,..,..,..,..,..
6,algeria,   ,,,,,,
7,,arrivals   ,,,,,,
8,, total arrivals  ,thousands,2657,2371,591,125,1398
9,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
10,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
11,,"   of which, cruise passengers",thousands,..,..,..,..,..
12,american samoa,   ,,,,,,
13,,arrivals   ,,,,,,
14,, total arrivals  ,thousands,51.8,58.6,..,..,..
15,,  overnights visitors (tourists) ,thousands,20.2,19.2,0.9,..,..
16,,  same-day visitors (excursionists) ,thousands,31.6,39.4,..,..,..
17,,"   of which, cruise passengers",thousands,31.6,39.4,..,..,..
18,andorra,   ,,,,,,
19,,arrivals   ,,,,,,
20,, total arrivals  ,thousands,8328,8235,5207,5422,8426.7
21,,  overnights visitors (tourists) ,thousands,3042,3090,1872,1949,3555.1
22,,  same-day visitors (excursionists) ,thousands,5286,5145,3335,3473,4870.6
23,,"   of which, cruise passengers",thousands,..,..,..,..,..
24,angola,   ,,,,,,
25,,arrivals   ,,,,,,
26,, total arrivals  ,thousands,..,..,..,..,..
27,,  overnights visitors (tourists) ,thousands,218,218,64,64,130
28,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
29,,"   of which, cruise passengers",thousands,..,..,..,..,..
30,anguilla,   ,,,,,,
31,,arrivals   ,,,,,,
32,, total arrivals  ,thousands,87,166,41.1,28.7,95.8
33,,  overnights visitors (tourists) ,thousands,55,95,25.4,28.4,74.1
34,,  same-day visitors (excursionists) ,thousands,33,71,15.7,0.3,21.7
35,,"   of which, cruise passengers",thousands,3.5,6.1,1.4,..,..
36,antigua and barbuda,   ,,,,,,
37,,arrivals   ,,,,,,
38,, total arrivals  ,thousands,1064,1035,276,250,642.4
39,,  overnights visitors (tourists) ,thousands,269,301,125,169.4,265.1
40,,  same-day visitors (excursionists) ,thousands,795,734,151,80.6,377.3
41,,"   of which, cruise passengers",thousands,795,734,151,80.6,377.3
42,argentina,   ,,,,,,
43,,arrivals   ,,,,,,
44,, total arrivals  ,thousands,10394,11131,3096,460,7503
45,,  overnights visitors (tourists) ,thousands,6942,7399,2090,297,3890
46,,  same-day visitors (excursionists) ,thousands,3452,3732,1007,163,3613
47,,"   of which, cruise passengers",thousands,..,..,..,..,..
48,armenia,   ,,,,,,
49,,arrivals   ,,,,,,
50,, total arrivals  ,thousands,..,..,..,..,..
51,,  overnights visitors (tourists) ,thousands,1652,1894,375,870,1666
52,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
53,,"   of which, cruise passengers",thousands,..,..,..,..,..
54,aruba,   ,,,,,,
55,,arrivals   ,,,,,,
56,, total arrivals  ,thousands,1897,1951,623,943,1711
57,,  overnights visitors (tourists) ,thousands,1082,1119,368,807,1101
58,,  same-day visitors (excursionists) ,thousands,815,832,255,136,610
59,,"   of which, cruise passengers",thousands,815,832,255,136,610
60,australia,   ,,,,,,
61,,arrivals   ,,,,,,
62,, total arrivals  ,thousands,9246,9466,1828,246,3694
63,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
64,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
65,,"   of which, cruise passengers",thousands,..,..,..,..,..
66,austria,   ,,,,,,
67,,arrivals   ,,,,,,
68,, total arrivals  ,thousands,..,..,..,..,..
69,,  overnights visitors (tourists) ,thousands,30816,31884,15091,12728,26215
70,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
71,,"   of which, cruise passengers",thousands,..,..,..,..,..
72,azerbaijan,   ,,,,,,
73,,arrivals   ,,,,,,
74,, total arrivals  ,thousands,2850,3170,796,792,1602
75,,  overnights visitors (tourists) ,thousands,2633,2876,587,..,1508
76,,  same-day visitors (excursionists) ,thousands,216,294,209,..,94
77,,"   of which, cruise passengers",thousands,..,..,..,..,..
78,bahamas,   ,,,,,,
79,,arrivals   ,,,,,,
80,, total arrivals  ,thousands,6622,7250,1794.5,2101,7000.7
81,,  overnights visitors (tourists) ,thousands,1633,1807,441,892,1452.4
82,,  same-day visitors (excursionists) ,thousands,4990,5444,1354,1209,5548.6
83,,"   of which, cruise passengers",thousands,4878,5433,1327.1,1115,5390
84,bahrain,   ,,,,,,
85,,arrivals   ,,,,,,
86,, total arrivals  ,thousands,12045,11061,1909,3612,9949
87,,  overnights visitors (tourists) ,thousands,4366,3849,827,2182,3712
88,,  same-day visitors (excursionists) ,thousands,7678,7212,1082,1430,6237
89,,"   of which, cruise passengers",thousands,81,134,51,7,33
90,bangladesh,   ,,,,,,
91,,arrivals   ,,,,,,
92,, total arrivals  ,thousands,..,..,..,..,..
93,,  overnights visitors (tourists) ,thousands,267,323,182,135,..
94,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
95,,"   of which, cruise passengers",thousands,..,..,..,..,..
96,barbados,   ,,,,,,
97,,arrivals   ,,,,,,
98,, total arrivals  ,thousands,1356,966,545.8,242,897.6
99,,  overnights visitors (tourists) ,thousands,680,523,207.4,144.8,539.7
100,,  same-day visitors (excursionists) ,thousands,676,443,338.4,97.4,357.9
101,,"   of which, cruise passengers",thousands,676,443,338,97.4,357.9
102,belarus,   ,,,,,,
103,,arrivals   ,,,,,,
104,, total arrivals  ,thousands,11502,11832,3598,3361,4920
105,,  overnights visitors (tourists) ,thousands,2142,2206,577,787,1492
106,,  same-day visitors (excursionists) ,thousands,198,228,47,27,82
107,,"   of which, cruise passengers",thousands,..,..,..,..,..
108,belgium,   ,,,,,,
109,,arrivals   ,,,,,,
110,, total arrivals  ,thousands,..,..,..,..,..
111,,  overnights visitors (tourists) ,thousands,9119,9343,2584,3243,8220
112,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
113,,"   of which, cruise passengers",thousands,..,..,..,..,..
114,belize,   ,,,,,,
115,,arrivals   ,,,,,,
116,, total arrivals  ,thousands,1697,1674,487,437,..
117,,  overnights visitors (tourists) ,thousands,489,503,144.1,219,372.6
118,,  same-day visitors (excursionists) ,thousands,1208,1171,343.1,218,..
119,,"   of which, cruise passengers",thousands,1208,1171,343,210,615
120,benin,   ,,,,,,
121,,arrivals   ,,,,,,
122,, total arrivals  ,thousands,322,337,354,..,..
123,,  overnights visitors (tourists) ,thousands,295,309,325,..,..
124,,  same-day visitors (excursionists) ,thousands,27,28,29,..,..
125,,"   of which, cruise passengers",thousands,12,13,14,..,..
126,bermuda,   ,,,,,,
127,,arrivals   ,,,,,,
128,, total arrivals  ,thousands,766,805,51.4,86.4,548.5
129,,  overnights visitors (tourists) ,thousands,282,269,42.1,72.2,145.9
130,,  same-day visitors (excursionists) ,thousands,484,536,9.3,14.2,402.7
131,,"   of which, cruise passengers",thousands,484,536,9.3,14.2,402.7
132,bhutan,   ,,,,,,
133,,arrivals   ,,,,,,
134,, total arrivals  ,thousands,..,..,..,..,..
135,,  overnights visitors (tourists) ,thousands,274,316,29.8,0.001,20.9
136,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
137,,"   of which, cruise passengers",thousands,..,..,..,..,..
138,"bolivia, plurinational state of",   ,,,,,,
139,,arrivals   ,,,,,,
140,, total arrivals  ,thousands,..,..,..,..,..
141,,  overnights visitors (tourists) ,thousands,1142,1239,323.3,180,724
142,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
143,,"   of which, cruise passengers",thousands,..,..,..,..,..
144,bosnia and herzegovina,   ,,,,,,
145,,arrivals   ,,,,,,
146,, total arrivals  ,thousands,..,..,..,..,..
147,,  overnights visitors (tourists) ,thousands,1053,1198,197,502,915
148,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
149,,"   of which, cruise passengers",thousands,..,..,..,..,..
150,botswana,   ,,,,,,
151,,arrivals   ,,,,,,
152,, total arrivals  ,thousands,1830,1555.4,358.2,338,..
153,,  overnights visitors (tourists) ,thousands,1655,1454.6,328.5,314,..
154,,  same-day visitors (excursionists) ,thousands,176,100.8,29.7,24,..
155,,"   of which, cruise passengers",thousands,..,..,..,..,..
156,brazil,   ,,,,,,
157,,arrivals   ,,,,,,
158,, total arrivals  ,thousands,..,..,..,..,..
159,,  overnights visitors (tourists) ,thousands,6621,6353,2146,746,3630
160,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
161,,"   of which, cruise passengers",thousands,..,..,..,..,..
162,british virgin islands,   ,,,,,,
163,,arrivals   ,,,,,,
164,, total arrivals  ,thousands,..,895,..,..,..
165,,  overnights visitors (tourists) ,thousands,192,302.4,83,56,173
166,,  same-day visitors (excursionists) ,thousands,..,592.5,..,..,..
167,,"   of which, cruise passengers",thousands,201,575.1,219,70,344
168,brunei darussalam,   ,,,,,,
169,,arrivals   ,,,,,,
170,, total arrivals  ,thousands,4521,4449,1071,110,..
171,,  overnights visitors (tourists) ,thousands,278,333,62.3,3.5,..
172,,  same-day visitors (excursionists) ,thousands,19,15,1.5,..,..
173,,"   of which, cruise passengers",thousands,19,15,1.5,..,..
174,bulgaria,   ,,,,,,
175,,arrivals   ,,,,,,
176,, total arrivals  ,thousands,12368,12552,4973,7188,10888
177,,  overnights visitors (tourists) ,thousands,9273,7775,1290,2300,5557
178,,  same-day visitors (excursionists) ,thousands,3095,4777,3683,4888,5332
179,,"   of which, cruise passengers",thousands,..,..,..,..,..
180,burkina faso,   ,,,,,,
181,,arrivals   ,,,,,,
182,, total arrivals  ,thousands,..,..,..,..,..
183,,  overnights visitors (tourists) ,thousands,144,143,67,106,116
184,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
185,,"   of which, cruise passengers",thousands,..,..,..,..,..
186,cabo verde,   ,,,,,,
187,,arrivals   ,,,,,,
188,, total arrivals  ,thousands,..,..,..,..,..
189,,  overnights visitors (tourists) ,thousands,710,758,180,135,785
190,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
191,,"   of which, cruise passengers",thousands,..,..,..,..,..
192,cambodia,   ,,,,,,
193,,arrivals   ,,,,,,
194,, total arrivals  ,thousands,..,..,..,..,..
195,,  overnights visitors (tourists) ,thousands,6201,6611,1306,196.4,2276.6
196,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
197,,"   of which, cruise passengers",thousands,..,..,..,..,..
198,cameroon,   ,,,,,,
199,,arrivals   ,,,,,,
200,, total arrivals  ,thousands,997,1021,616,963,539
201,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
202,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
203,,"   of which, cruise passengers",thousands,..,..,..,..,..
204,canada,   ,,,,,,
205,,arrivals   ,,,,,,
206,, total arrivals  ,thousands,31274,32430,5068,4282.1,17924
207,,  overnights visitors (tourists) ,thousands,21134,22145,2960,3062.2,12824
208,,  same-day visitors (excursionists) ,thousands,10140,10284,2108,1219.9,5100
209,,"   of which, cruise passengers",thousands,284,250,0,0,947
210,cayman islands,   ,,,,,,
211,,arrivals   ,,,,,,
212,, total arrivals  ,thousands,2384,2334,660,..,1027.7
213,,  overnights visitors (tourists) ,thousands,463,503,122,17.3,284.3
214,,  same-day visitors (excursionists) ,thousands,1921,1831,538,..,743.4
215,,"   of which, cruise passengers",thousands,1921,1831,538,..,743.4
216,central african republic,   ,,,,,,
217,,arrivals   ,,,,,,
218,, total arrivals  ,thousands,..,..,..,..,..
219,,  overnights visitors (tourists) ,thousands,109,87,34.6,..,..
220,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
221,,"   of which, cruise passengers",thousands,..,..,..,..,..
222,chad,   ,,,,,,
223,,arrivals   ,,,,,,
224,, total arrivals  ,thousands,..,..,..,..,..
225,,  overnights visitors (tourists) ,thousands,77,79,11,40,..
226,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
227,,"   of which, cruise passengers",thousands,..,..,..,..,..
228,chile,   ,,,,,,
229,,arrivals   ,,,,,,
230,, total arrivals  ,thousands,6603,5431,1310.5,192,2269
231,,  overnights visitors (tourists) ,thousands,5723,4518,1119.1,190,2030
232,,  same-day visitors (excursionists) ,thousands,880,913,191.4,1.5,239
233,,"   of which, cruise passengers",thousands,..,..,..,..,..
234,china,   ,,,,,,
235,,arrivals   ,,,,,,
236,, total arrivals  ,thousands,158606,162538,27467,26380,25250
237,,  overnights visitors (tourists) ,thousands,62900,65725,7967,..,..
238,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
239,,"   of which, cruise passengers",thousands,..,..,..,..,..
240,colombia,   ,,,,,,
241,,arrivals   ,,,,,,
242,, total arrivals  ,thousands,4398,4531,1387,2146,4686
243,,  overnights visitors (tourists) ,thousands,4020,4169,1252,2127,4519
244,,  same-day visitors (excursionists) ,thousands,378,362,134,19,168
245,,"   of which, cruise passengers",thousands,378,362,134,19,168
246,comoros,   ,,,,,,
247,,arrivals   ,,,,,,
248,, total arrivals  ,thousands,..,..,..,..,..
249,,  overnights visitors (tourists) ,thousands,35.9,45.1,7,28.8,..
250,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
251,,"   of which, cruise passengers",thousands,..,..,..,..,..
252,congo,   ,,,,,,
253,,arrivals   ,,,,,,
254,, total arrivals  ,thousands,158,..,..,..,..
255,,  overnights visitors (tourists) ,thousands,156,..,..,..,..
256,,  same-day visitors (excursionists) ,thousands,2,..,..,..,..
257,,"   of which, cruise passengers",thousands,..,..,..,..,..
258,"congo, democratic republic of the",   ,,,,,,
259,,arrivals   ,,,,,,
260,, total arrivals  ,thousands,..,..,..,..,..
261,,  overnights visitors (tourists) ,thousands,392,479,202,382,..
262,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
263,,"   of which, cruise passengers",thousands,..,..,..,..,..
264,cook islands,   ,,,,,,
265,,arrivals   ,,,,,,
266,, total arrivals  ,thousands,..,..,..,..,..
267,,  overnights visitors (tourists) ,thousands,169,172,25.2,26.3,113.6
268,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
269,,"   of which, cruise passengers",thousands,..,..,..,..,..
270,costa rica,   ,,,,,,
271,,arrivals   ,,,,,,
272,, total arrivals  ,thousands,3313,3378.3,1146.5,1375.8,2497.1
273,,  overnights visitors (tourists) ,thousands,3017,3139,1012,1347,2349.5
274,,  same-day visitors (excursionists) ,thousands,296,239.3,134.6,28.7,147.6
275,,"   of which, cruise passengers",thousands,296,239.3,134.6,28.7,147.6
276,cote d´ivoire,   ,,,,,,
277,,arrivals   ,,,,,,
278,, total arrivals  ,thousands,1965,2070,668,576,2047
279,,  overnights visitors (tourists) ,thousands,..,..,..,..,..
280,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
281,,"   of which, cruise passengers",thousands,..,..,..,..,..
282,croatia,   ,,,,,,
283,,arrivals   ,,,,,,
284,, total arrivals  ,thousands,57668,60021,21608,34123,50023
285,,  overnights visitors (tourists) ,thousands,16645,17353,5545,10641,15324
286,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
287,,"   of which, cruise passengers",thousands,..,..,..,..,..
288,cuba,   ,,,,,,
289,,arrivals   ,,,,,,
290,, total arrivals  ,thousands,4712,4276,1086,356.4,1614.1
291,,  overnights visitors (tourists) ,thousands,4684,4263,1085,355.5,1613.4
292,,  same-day visitors (excursionists) ,thousands,..,..,..,..,..
293,,"   of which, cruise passengers",thousands,..,..,..,..,..
294,curaçao,   ,,,,,,
295,,arrivals   ,,,,,,
296,, total arrivals  ,thousands,1210,1293,436,418,1034.2
